from;to;amount
7733370917404;1176377952903;181940007
6844921348872;2956670133077;598141530
9581276438978;9721303015002;60312729
4014255371808;3969799818636;67156183
1268069905308;9267086377091;811257829
3729895913361;9031363559093;959965601
1809758929797;2536114821808;865467626
1233019525914;4081325523958;888706024
1983420870656;1600557232684;501693170
2821892227954;1403558432583;286537559
5256272206419;2756327636400;24713414
8805298949928;1206087921696;461466727
5022316820142;5510112481233;31922079
3179792334119;8336640847199;181507298
2072395311246;8058820930416;200651612
3680329019639;9951392480145;954625611
4688206249259;6627828375232;434657747
4210559750038;1854683942681;106870552
8527557192995;2887152880561;571463613
1981126023697;6830263204938;867559331
9805713124324;8755343407757;593160091
2711185497862;8882531912931;295880799
4901854269711;8360720703861;505072360
1018702844837;3238633596196;591946775
8843263529763;3015529274917;26653613
6328486789388;3230962410539;217011385
6036511036346;3134591538611;811249883
1352008790681;4184285950465;859994926
8786883381173;3929648504654;630744573
5204443657570;7850903714877;752619057
3613482539194;3063706302435;504310696
1134876189977;7905790505796;554743300
2826563391084;6837094185860;574088552
4410252097057;8828132342673;131743603
9296300022019;5294761324194;715900175
3078553159752;2474375584631;758429479
3005049754550;2755657926813;568448471
2509950145492;2623475223878;346243998
4078561325613;2277280989391;745476434
6958638051498;7743167510043;143505218
9467336271444;2610502335709;91342523
9918394088291;5446078566135;262924620
7663370552583;6074782835131;177161946
1914593843198;8029295141773;888276698
5475301531484;6648655191398;443284808
5894756102169;2433293986449;625135875
3829353763923;5811357765432;292052315
5655577001203;3866414141099;276156949
9062504592321;9430263719317;97377765
4642711888349;1461755635636;299797053
5211128462577;3732220908985;175262560
7840429754848;8684049470251;523539473
9939337697512;9816235970089;613814162
3320704261344;3872215153254;473353292
7754033943906;1995356657298;79303814
6950914820436;6147667845027;987264936
4226192339202;2484489556067;394394742
1371254491768;8871775656050;857649663
8672313906802;9628414226585;784438453
3699337004338;2668256405059;237869762
7375399096531;1938990493917;910277372
7431159667785;9465161819084;651361902
6781445683075;4863766540088;873264892
8374192297884;2793943185147;575627713
5180822540354;6087093039612;798256986
3579806656478;1978480170657;674468491
9335992715036;1635560505400;5377630
3945308241205;4304481570682;421497727
3457645306132;7238666487555;551106366
5010694594179;7512516435343;318154504
6380503175561;3295609930005;470590523
4391477720518;9862365009699;796365394
1895350532905;4482017665494;18773833
3997368785900;7134468436004;701808818
5768551997009;3881976078064;111903264
6730749771613;2426450886232;819434300
5355340432586;4745193931149;637143789
1380106314060;1359016509236;669199402
7794484303013;9971615343448;812355365
2572065353376;9384890137147;754065846
2798337579752;2303664990251;942175706
3471862214481;4566081450629;759277303
3696641359320;3482070928444;985863056
8426448192421;5845900518300;252152552
2368971517784;4123852157898;412935841
1288569452289;7005164228046;645075844
7423240126814;2248435460389;679838302
8982698665680;5791250102153;976807753
8422839245453;1872679442605;949139474
6496688981539;5537020853321;194592714
1895161147704;1573747277586;837270337
4866167908505;5331589194676;184835439
6517725354653;5346214775060;727910774
7877824435566;9849509308272;1810676
3562783872953;9040416842974;798521298
1310194388256;5690605558644;616676551
6639230429853;5458565517688;41861970
4469126320000;2800282979694;241191535
3935574087042;3356921623849;890929785
2880961913335;1215179512269;471050631
